16,53,51,51,48,33,92,88,107,102
16,52,51,51,48,33,92,88,107,102
16,52,50,51,50,34,91,88,105,101
14,52,50,51,50,34,90,87,104,100
11,52,51,53,54,36,96,93,109,106
12,52,51,54,55,37,96,93,109,106
17,56,50,60,59,30,93,90,106,104
16,55,51,59,58,32,93,89,104,102
18,60,61,63,63,27,96,96,110,114
18,60,61,64,63,28,95,96,107,111
19,60,61,64,63,28,95,95,107,112
21,59,62,69,70,26,98,98,103,116
19,58,70,86,77,22,99,96,97,111
19,61,67,78,72,24,102,100,98,110
19,61,69,80,74,26,102,100,100,113
19,61,69,80,74,27,102,101,101,114
33,59,70,82,72,19,101,100,101,112
31,57,75,83,74,23,101,101,100,111
50,62,87,87,78,20,96,94,94,110
58,62,91,84,74,16,110,108,107,130
54,66,97,88,77,20,109,106,105,124
55,65,99,88,77,19,109,107,105,125
57,78,91,90,80,13,136,135,130,147
58,79,91,90,79,15,134,132,127,142
53,81,88,86,81,10,141,141,131,147
42,77,84,84,79,13,134,134,108,120
43,78,88,87,81,13,128,129,103,114
44,78,87,87,81,12,128,129,103,114
25,76,82,84,82,18,114,115,83,88
27,77,81,84,81,18,113,113,82,87
16,75,81,84,81,23,89,89,62,63
12,73,78,83,81,15,79,77,57,57
7,72,77,82,81,19,79,77,57,57
9,74,78,83,81,19,79,76,57,56
27,75,79,82,78,17,62,58,50,51
25,73,79,81,77,19,64,61,53,55
27,74,77,79,76,22,57,54,49,49
30,74,75,76,72,15,56,53,53,51
30,72,74,73,70,14,55,53,53,52
29,72,74,74,71,15,56,54,54,52
22,72,75,75,73,15,61,61,58,54
26,70,71,71,69,15,59,60,59,55
30,71,73,73,71,23,55,55,56,49
36,71,72,71,67,21,46,43,48,47
39,71,73,72,68,21,46,42,45,44
41,71,72,72,69,21,45,42,46,44
41,73,74,72,69,20,35,32,36,33
41,72,73,72,68,20,39,33,37,34
43,74,73,70,66,21,32,30,37,36
27,71,70,67,63,23,48,48,49,49
34,70,68,66,63,23,45,46,45,45
33,70,69,66,64,25,45,47,46,45
13,74,75,74,73,26,65,67,51,52
17,77,76,75,74,23,66,68,51,51
25,67,71,74,74,20,88,97,100,111
40,62,66,70,71,23,79,84,97,113
43,61,65,70,72,28,82,83,94,114
41,61,66,70,72,30,83,84,97,116
49,63,65,67,67,38,74,72,85,99
48,62,63,64,64,36,74,71,85,102
48,62,62,64,64,37,76,73,87,103
48,64,64,65,64,37,69,65,75,87
43,69,65,66,65,38,61,64,69,78
43,70,65,66,64,39,58,62,66,79
43,75,76,77,73,17,56,55,61,58
24,73,76,76,71,27,59,59,63,59
15,64,65,66,57,28,64,66,78,77
24,60,60,62,62,38,41,46,63,69
30,63,64,64,64,33,41,46,59,62
25,63,64,65,64,39,28,32,40,47
24,63,63,64,64,48,34,40,50,55
23,63,64,65,64,50,34,39,50,54
23,73,69,68,65,50,36,40,34,37
25,70,68,68,65,49,42,47,40,43
12,68,65,65,63,43,38,37,35,40
14,70,69,69,67,57,69,73,60,65
22,70,66,66,65,53,50,50,38,42
19,73,71,71,69,54,70,72,54,59
21,75,74,73,67,56,66,67,46,51
18,76,80,79,73,56,73,76,54,58
20,84,87,83,75,62,73,76,46,49
27,84,89,88,80,53,78,82,43,44
30,89,91,88,77,54,76,81,51,53
30,89,91,88,77,52,77,80,48,50
46,91,94,94,87,24,77,81,51,53
47,90,94,94,88,21,78,82,54,55
45,83,95,96,91,14,86,89,60,58
49,85,95,97,92,12,79,83,57,56
48,86,95,96,93,11,76,82,56,55
47,86,94,96,93,10,75,80,56,55
37,90,100,100,94,17,79,82,58,59
54,89,101,100,94,13,80,83,59,60
48,82,96,100,91,6,80,81,57,59
48,82,96,100,91,6,80,81,57,59
39,65,83,93,83,6,77,80,68,74
45,76,89,93,82,5,76,80,69,75
36,74,90,94,76,17,69,75,66,75
24,63,75,99,79,4,73,78,72,80
35,54,72,80,77,20,64,72,63,75
36,81,82,80,73,41,62,67,63,70
35,80,83,81,74,42,62,67,64,72
37,79,83,83,77,38,64,68,64,71
38,87,85,83,78,37,56,59,59,65
38,88,86,84,78,34,54,58,59,65
38,85,83,81,75,35,50,54,57,62
39,82,81,80,74,33,42,46,50,54
38,82,81,80,74,31,44,48,51,55
38,82,80,80,74,31,44,48,51,55
35,77,79,77,72,30,41,43,51,53
36,79,78,76,70,29,42,45,53,57
16,65,64,64,60,12,34,34,53,59
23,63,63,61,57,26,54,60,71,74
21,65,65,61,57,21,54,58,72,75
19,64,63,60,56,19,55,59,73,76
9,48,49,49,45,27,98,100,107,107
10,49,51,50,49,24,99,100,105,106
10,49,51,50,49,23,100,100,103,105
4,32,34,33,29,27,90,90,107,107
3,22,18,16,14,33,95,87,113,108
3,24,19,16,16,33,95,87,113,109
7,12,10,11,13,29,96,85,110,102
5,14,11,11,13,27,97,87,111,103
9,7,6,7,9,27,98,85,108,97
13,4,4,5,8,27,99,85,106,94
13,4,3,5,7,26,99,86,107,95
14,4,3,4,7,28,98,84,104,90
13,4,3,4,7,27,98,84,104,90
14,4,3,4,7,27,98,84,104,90
14,3,3,3,6,28,97,85,104,87
14,3,3,3,6,27,97,85,104,87
15,3,2,2,5,28,96,85,105,88
15,3,2,3,5,28,96,85,105,88
16,5,2,3,5,28,93,83,104,88
17,5,3,3,5,28,93,83,104,88
16,7,3,3,5,29,91,82,104,89
16,7,3,3,5,28,90,82,103,88
18,9,4,4,5,30,90,81,102,88
18,14,5,5,6,30,91,81,103,88
